// Gravity Guy
// Criação:        14 Fev 2013
// Atualização:    27 Set 2021
// Descrição:   Posição das plataformas do nível 1
//
// Cano de cima
//  posX    posY    platType
    480      -150       0
    940      -150       0
    1440     -200       0
    1920     -150       0
    2400     -100       0
    2880     -150       0
    3360     -100       0
    3840     -200       0
    4320     -100       0
    4800     -150       0
    5140     -200       0
//
//  Cano baixo
//  posX    posY    platType
    480     700        1
    940     750        1
    1440    800        1
    1920    740        1
    2400    740        1
    2880    740        1
    3360    840        1
    3840    840        1
    4320    940        1
    4800    740        1
    5140    840        1
    
